timestamp,latitude,longitude,altitude,speed,course,hacc
1668507008226,45.47844,9.22588,176.465,0.000,0.000,3.000
1668507009212,45.47843,9.22588,171.723,0.000,0.000,4.000
1668507010239,45.47843,9.22587,167.698,0.000,0.000,4.000
1668507011239,45.47844,9.22585,167.296,0.000,0.000,8.000
1668507012239,45.47844,9.22584,165.632,0.000,0.000,8.000
1668507012999,45.47845,9.22583,164.246,0.000,0.000,6.000
1668507013999,45.47846,9.22583,163.715,0.000,0.000,6.000
1668507014999,45.47846,9.22584,163.202,0.000,0.000,6.000
1668507015999,45.47847,9.22584,162.286,0.857,49.101,6.000
1668507016999,45.47848,9.22585,161.954,0.480,43.634,6.000
1668507017999,45.47848,9.22585,162.061,0.461,43.536,6.000
1668507018999,45.47849,9.22586,162.353,0.554,49.065,6.000
1668507019999,45.47849,9.22587,162.456,0.622,47.033,6.000
1668507020999,45.47850,9.22588,162.582,0.603,46.791,6.000
1668507021999,45.47850,9.22588,162.694,0.593,47.433,6.000
1668507022999,45.47851,9.22588,162.642,0.561,47.583,6.000
1668507023999,45.47851,9.22589,162.644,0.602,48.901,6.000
1668507024999,45.47852,9.22589,162.576,0.717,47.973,6.000
1668507025999,45.47852,9.22590,162.715,0.618,51.682,6.000
1668507026999,45.47853,9.22591,162.466,0.738,50.082,6.000
1668507027999,45.47853,9.22592,162.169,0.687,51.706,6.000
1668507028999,45.47854,9.22592,162.037,0.616,59.240,4.000
1668507029999,45.47854,9.22593,162.171,0.812,63.364,4.000
1668507030999,45.47854,9.22594,162.206,0.730,64.267,4.000
1668507031999,45.47855,9.22595,162.278,0.586,60.646,4.000
1668507032999,45.47855,9.22596,162.107,0.772,61.983,4.000
1668507033999,45.47855,9.22597,162.038,0.789,66.207,4.000
1668507034999,45.47856,9.22597,161.817,0.698,63.110,4.000
1668507035999,45.47856,9.22598,161.585,0.760,63.834,4.000
1668507036999,45.47857,9.22599,161.443,0.551,63.240,4.000
1668507037999,45.47857,9.22599,161.500,0.731,78.550,4.000
1668507038999,45.47857,9.22600,161.379,0.639,73.250,4.000
1668507039999,45.47858,9.22601,161.086,0.756,80.681,4.000
1668507040999,45.47858,9.22602,161.182,0.726,65.297,4.000
1668507041999,45.47858,9.22603,161.270,0.695,60.551,4.000
1668507042999,45.47859,9.22603,161.244,0.644,60.984,4.000
1668507043999,45.47859,9.22604,161.276,0.738,62.383,4.000
1668507044999,45.47859,9.22605,161.200,0.737,57.906,4.000
1668507045999,45.47860,9.22605,161.192,0.698,59.858,4.000
1668507046999,45.47860,9.22606,161.276,0.682,65.782,4.000
1668507047999,45.47861,9.22607,161.211,0.701,63.947,4.000
1668507048999,45.47860,9.22608,161.391,0.718,63.505,4.000
1668507049999,45.47861,9.22609,161.600,0.758,54.718,4.000
1668507050999,45.47861,9.22610,161.472,0.766,64.166,4.000
1668507051999,45.47861,9.22611,161.307,0.791,65.608,4.000
1668507052999,45.47862,9.22612,161.232,0.781,71.216,4.000
1668507053999,45.47862,9.22613,161.212,0.801,71.327,4.000
1668507054999,45.47862,9.22614,161.160,0.811,71.837,4.000
1668507055999,45.47863,9.22615,161.079,0.809,74.515,4.000
1668507056999,45.47863,9.22616,160.883,0.794,73.412,4.000
1668507057999,45.47863,9.22617,160.963,0.800,73.796,4.000
1668507058999,45.47863,9.22618,160.993,0.800,74.351,4.000
1668507059999,45.47863,9.22619,161.003,0.799,80.865,4.000
1668507060999,45.47864,9.22620,160.832,0.808,82.711,4.000
1668507061999,45.47864,9.22621,160.793,0.812,81.437,4.000
1668507062999,45.47864,9.22622,160.796,0.819,81.651,4.000
1668507063999,45.47864,9.22623,160.772,0.813,77.954,4.000
1668507064999,45.47864,9.22624,160.628,0.819,79.021,4.000
1668507065999,45.47864,9.22626,160.565,0.829,79.988,4.000
1668507066999,45.47864,9.22627,160.504,0.845,80.512,4.000
1668507067999,45.47865,9.22628,160.637,0.856,88.605,4.000
1668507068999,45.47865,9.22629,160.712,0.861,86.541,4.000
1668507069999,45.47865,9.22630,160.643,0.851,86.803,4.000
1668507070999,45.47864,9.22631,160.557,0.831,87.453,4.000
1668507071999,45.47864,9.22632,160.388,0.814,86.590,4.000
1668507072999,45.47864,9.22633,160.297,0.800,88.093,4.000
1668507073999,45.47864,9.22634,160.197,0.791,91.276,4.000
1668507074999,45.47864,9.22635,160.157,0.772,92.686,4.000
1668507075999,45.47864,9.22635,160.233,0.767,91.941,4.000
1668507076999,45.47864,9.22636,160.194,0.765,89.453,4.000
1668507077999,45.47864,9.22637,160.222,0.761,91.510,4.000
1668507078999,45.47864,9.22638,160.222,0.756,94.541,4.000
1668507079999,45.47864,9.22639,160.172,0.754,95.092,4.000
1668507080999,45.47864,9.22640,160.176,0.760,95.837,4.000
1668507081999,45.47864,9.22641,160.266,0.767,96.907,4.000
1668507082999,45.47864,9.22642,160.253,0.771,96.408,4.000
1668507083999,45.47864,9.22643,160.266,0.770,95.232,4.000
1668507084999,45.47864,9.22644,160.298,0.775,94.040,4.000
1668507085999,45.47863,9.22645,160.450,0.780,92.881,4.000
1668507086999,45.47863,9.22646,160.513,0.773,93.239,4.000
1668507087999,45.47863,9.22647,160.569,0.748,93.561,4.000
1668507088999,45.47863,9.22648,160.685,0.735,97.963,4.000
1668507089999,45.47863,9.22648,160.587,0.733,98.734,4.000
1668507090999,45.47863,9.22650,160.616,0.750,98.888,4.000
1668507091999,45.47863,9.22651,160.670,0.749,98.522,4.000
1668507092999,45.47863,9.22652,160.785,0.752,98.668,4.000
1668507093999,45.47863,9.22652,160.800,0.741,99.300,4.000
1668507094999,45.47863,9.22653,160.915,0.749,102.416,4.000
1668507095999,45.47863,9.22655,160.925,0.762,101.708,4.000
1668507096999,45.47863,9.22656,160.990,0.771,99.860,4.000
