epoch	DD_obs	     DD_apr
1	19575200.440	28459.876
2	19575200.369	28459.816
3	19575200.247	28459.696
4	19575200.040	28459.516
5	19575199.798	28459.276
6	19575199.500	28458.976
7	19575199.118	28458.616
8	19575198.688	28458.196
9	19575198.195	28457.716
10	19575197.653	28457.176
11	19575197.032	28456.576
12	19575196.367	28455.916
13	19575195.642	28455.196
14	19575194.850	28454.416
15	19575194.002	28453.576
16	19575193.091	28452.676
17	19575192.123	28451.716
18	19575191.085	28450.696
19	19575190.001	28449.616
20	19575188.844	28448.476
21	19575187.643	28447.276
22	19575186.369	28446.016
23	19575185.043	28444.696
24	19575183.648	28443.316
25	19575182.201	28441.876
26	19575180.694	28440.376
27	19575179.112	28438.816
28	19575177.483	28437.196
29	19575175.793	28435.516
30	19575174.053	28433.776
31	19575172.242	28431.976
32	19575170.367	28430.116
33	19575168.446	28428.196
34	19575166.451	28426.216
35	19575164.394	28424.176
36	19575162.286	28422.076
37	19575160.114	28419.916
38	19575157.894	28417.696
39	19575155.598	28415.416
40	19575153.245	28413.076
41	19575150.838	28410.676
42	19575148.367	28408.216
43	19575145.843	28405.696
44	19575143.252	28403.116
45	19575140.601	28400.476
46	19575137.892	28397.776
47	19575135.120	28395.016
48	19575132.286	28392.196
49	19575129.402	28389.316
50	19575127.397	28386.376
51	19575124.386	28383.376
52	19575121.316	28380.316
53	19575118.193	28377.196
54	19575115.004	28374.016
55	19575111.743	28370.776
56	19575108.439	28367.476
57	19575105.071	28364.116
58	19575101.638	28360.696
59	19575098.153	28357.216
60	19575094.601	28353.676
61	19575090.989	28350.076
62	19575087.318	28346.416
63	19575083.593	28342.696
64	19575079.803	28338.916
65	19575075.952	28335.076
66	19575072.039	28331.176
67	19575068.074	28327.216
68	19575064.036	28323.196
69	19575059.951	28319.116
70	19575055.806	28314.976
71	19575051.589	28310.776
72	19575047.317	28306.516
73	19575042.998	28302.196
74	19575038.599	28297.816
75	19575034.152	28293.376
76	19575029.637	28288.876
77	19575025.071	28284.316
78	19575020.442	28279.696
79	19575015.750	28275.016
80	19575011.001	28270.276
81	19575006.195	28265.476
82	19575001.314	28260.616
83	19574996.391	28255.696
84	19574991.392	28250.716
85	19574986.350	28245.676
86	19574981.248	28240.576
87	19574976.074	28235.416
88	19574970.840	28230.196
89	19574965.549	28224.916
90	19574960.202	28219.576
91	19574954.794	28214.176
92	19574949.320	28208.716
93	19574943.796	28203.196
94	19574938.197	28197.616
95	19574932.542	28191.976
96	19574926.837	28186.276
97	19574921.069	28180.516
98	19574915.239	28174.696
99	19574909.347	28168.816
100	19574903.405	28162.876
